DeltaV	Velc	Raio
19.88	19.07	4.50
10.50	27.75	5.00
20.19	15.00	5.00
9.12	27.47	7.00
0.64	23.50	7.00
22.62	22.66	3.50
23.39	17.11	4.50
28.14	21.70	9.00
0.82	21.34	6.00
17.61	22.41	6.00
15.40	26.55	5.00
27.39	20.73	3.50
23.32	14.93	4.50
12.93	23.01	5.00
12.71	16.31	4.00
23.12	18.88	4.00
11.20	19.75	6.00
8.21	18.99	8.00
10.39	18.15	5.00
20.24	29.81	24.00
6.79	24.22	8.00
23.12	14.06	3.00
5.90	24.95	7.00
4.77	17.92	5.00
5.34	19.07	4.00
12.93	24.14	9.50
9.72	21.77	8.00
19.42	13.89	3.00
19.49	13.39	3.00
12.61	20.65	5.00
21.31	17.90	4.50
9.91	20.99	5.00
12.43	12.68	4.00
14.85	22.33	7.00
15.29	20.49	7.00
10.09	20.11	8.00
17.82	11.95	3.00
20.49	11.05	5.50
11.95	21.69	7.00
8.46	17.83	5.00
24.20	8.63	5.00
29.83	22.31	8.00
23.87	19.64	5.00
20.38	22.48	7.50
13.36	22.37	6.00
17.86	27.20	15.00
21.43	10.17	8.00
8.53	16.41	5.00
16.15	23.39	5.00
12.06	15.35	5.00
10.43	28.68	6.50
2.29	15.73	8.00
3.96	24.26	9.00
6.45	29.33	6.00
1.82	15.19	6.00
21.19	25.21	6.50
11.59	17.70	8.00
16.09	25.91	5.00
16.42	12.71	3.50
19.77	26.47	6.00
12.96	25.02	5.00
8.96	19.10	6.00
11.05	20.06	5.00
16.25	23.82	5.00
19.07	17.30	6.00
23.19	23.43	6.50
1.07	15.45	4.00
15.02	23.71	5.00
15.53	27.76	5.00
5.02	21.16	5.00
14.54	23.98	5.00
16.36	22.05	5.00
11.84	18.09	6.50
8.91	24.14	5.00
13.92	18.05	3.00
10.92	21.16	5.00
8.74	23.12	5.00
17.06	25.37	6.50
10.41	27.36	5.00
7.40	20.28	6.00
2.74	32.67	4.50
8.66	20.52	5.00
20.81	25.06	6.50
7.64	22.94	5.00
12.22	12.83	7.00
14.84	29.20	3.50
13.21	14.26	7.50
12.81	17.90	5.00
11.24	23.36	6.50
16.76	14.57	5.50
4.07	16.15	6.00
17.67	13.82	9.00
14.07	23.21	6.50
13.14	18.83	5.50
14.67	15.64	5.50
18.20	15.06	5.50
9.92	19.64	6.50
17.93	14.20	5.50
18.25	16.67	5.00
17.46	21.49	6.50
15.31	16.29	5.50
8.47	19.37	6.00
21.16	18.38	6.50
15.96	16.44	5.50
20.88	15.87	9.50
22.22	16.19	7.50
17.39	21.45	7.50
20.23	16.36	5.00
21.29	14.71	5.50
18.09	15.71	5.50
14.19	17.35	5.50
11.79	27.42	7.00
18.11	29.85	8.00
10.68	24.30	8.00
33.35	16.38	8.00
24.33	23.09	7.50
11.78	26.95	5.00
17.11	27.36	11.50
12.75	25.39	7.00
17.50	26.27	6.00
13.46	15.29	7.00
20.85	19.76	7.00
12.07	30.25	7.50
6.37	33.11	8.00
20.22	26.72	6.00
13.57	28.81	7.00
17.13	26.11	6.00
12.91	26.84	5.00
16.72	17.83	5.00
2.83	25.55	6.00
25.09	21.47	5.00
13.68	16.74	6.50
11.27	22.31	3.00
18.96	21.49	3.50
18.54	26.68	6.00
12.17	29.03	4.50
1.73	21.44	7.00
17.34	23.05	4.50
19.53	18.18	5.00
10.22	24.11	7.50
15.53	35.00	6.50
4.51	25.75	3.50
16.87	29.48	7.50
3.13	21.92	3.00
9.58	25.18	4.50
13.86	20.63	3.50
15.74	22.62	3.00
11.00	30.57	7.50
13.25	25.11	7.00
14.90	23.46	4.00
19.12	21.60	6.50
7.68	24.40	6.50
16.68	30.26	7.50
2.25	25.43	6.50
7.83	28.49	8.00
25.07	26.43	4.50
17.56	28.36	6.50
17.81	20.49	6.50
22.03	18.63	7.50
7.07	25.17	7.50
15.08	26.82	5.50
11.23	23.53	6.00
21.95	21.29	5.00
21.79	29.33	7.00
29.17	33.27	5.00
25.70	21.40	6.00
18.51	27.36	7.00
14.75	21.73	7.00
14.22	21.72	5.50
2.67	15.03	6.00
10.33	19.71	5.00
18.13	21.57	8.00
21.06	24.54	6.50
11.75	22.90	5.50
2.96	33.73	17.00
11.47	19.75	6.00
19.76	21.28	5.00
20.47	23.25	8.00
11.38	24.24	6.00
13.87	20.03	10.00
15.85	20.20	4.50
11.24	22.82	6.50
21.27	28.40	12.00
20.30	19.50	4.00
11.56	27.06	3.00
16.42	27.03	7.00
18.24	21.40	6.00
19.34	17.84	8.00
13.15	24.08	6.00
20.76	17.01	0.50
20.79	25.88	7.00
18.84	17.10	5.50
21.02	20.98	6.00
20.68	25.19	8.50
11.55	24.66	15.00
13.24	20.50	8.00
10.65	20.52	8.00
11.78	17.62	7.00
9.95	23.26	10.00
22.57	17.02	7.00
21.82	16.38	8.00
27.19	12.45	7.50
12.61	19.47	10.00
28.75	18.03	2.00
12.55	15.61	7.00
21.54	20.03	7.00
17.78	20.36	7.00
18.67	18.77	8.00
11.98	19.67	6.00
13.05	22.57	8.00
14.75	20.12	8.00
11.08	13.60	5.00
15.48	19.23	7.00
20.39	20.81	20.00
12.02	22.21	6.50
20.94	16.13	9.00
13.87	15.42	5.00
14.03	24.38	15.00
20.51	16.29	9.00
13.23	14.61	5.00
10.05	14.68	8.00
18.17	20.72	7.00
20.15	25.39	7.00
19.04	29.45	20.00
12.07	23.98	7.00
20.53	13.80	4.00
28.73	13.22	5.00
23.71	9.98	4.00
25.32	22.53	4.00
4.37	21.11	5.00
25.21	25.27	7.00
19.97	21.28	6.00
16.94	17.66	3.50
19.96	19.36	7.00
22.68	21.04	6.00
16.11	20.80	7.50
22.31	16.15	6.00
24.86	16.66	6.00
15.17	20.72	5.00
19.18	16.49	7.00
23.93	16.73	6.00
17.96	21.84	6.00
22.10	12.55	5.00
19.85	16.20	5.00
18.83	16.63	5.00
4.28	29.41	8.00
19.08	26.20	6.50
10.19	18.03	6.00
14.17	9.92	6.00
24.71	15.42	5.00
26.83	14.11	4.00
10.03	24.31	20.00
32.61	9.01	5.00
20.20	25.98	7.00
24.87	17.50	2.00
27.57	23.96	5.00
6.79	14.09	2.00
29.33	18.34	2.00
7.78	22.90	6.00
16.38	15.75	7.00
26.11	13.25	7.00
21.53	10.24	4.00
21.61	14.19	7.00
13.46	19.99	5.00
24.12	17.28	5.00
28.70	13.59	7.00
25.88	16.09	7.00
21.84	15.97	7.00
23.78	11.66	5.00
27.68	14.65	7.00
23.45	17.97	7.00
13.90	19.76	5.00
11.50	20.07	8.00
10.56	19.53	8.00
7.24	20.88	8.00
24.39	10.92	5.00
9.43	21.35	8.00
13.92	19.67	5.00
15.07	25.22	10.00
19.37	23.83	3.00
25.24	19.32	10.00
17.30	15.53	5.00
24.07	18.37	5.00
16.57	19.08	11.00
14.33	14.96	6.00
20.10	13.71	6.00
17.38	19.72	12.00
33.41	14.68	10.00
30.46	10.27	12.00
10.82	13.46	7.00
16.98	11.10	3.00
18.45	10.62	5.00
9.39	13.51	5.00
12.63	12.35	3.00
20.34	13.19	5.00
21.39	15.73	7.00
11.50	19.01	6.00
10.75	14.92	3.00
17.33	21.77	5.00
13.56	21.19	3.00
15.38	20.99	8.00
5.40	9.66	4.00
7.42	16.86	5.00
14.45	10.32	6.00
20.05	16.65	3.50
18.09	18.91	6.00
13.34	7.97	3.50
17.30	18.57	6.00
22.85	16.90	7.00
20.45	10.85	5.00
17.34	18.18	8.00
17.89	14.22	10.00
22.92	15.13	8.00
23.20	12.13	7.00
8.14	17.80	10.00
11.53	10.54	6.00
14.11	18.59	8.00
24.07	15.32	7.00
19.01	20.04	7.00
12.45	26.03	3.00
16.43	16.44	5.00
18.27	14.02	4.00
13.35	8.94	5.00
19.80	13.23	7.00
6.20	10.75	5.00
21.33	13.14	6.00
11.31	20.12	5.00
17.59	22.76	3.00
20.46	21.24	8.00
0.19	21.01	5.00
18.00	20.50	5.00
16.46	20.08	12.00
13.28	17.61	5.00
15.32	21.90	7.00
19.13	25.16	5.00
23.90	20.35	6.00
19.16	18.42	6.00
17.23	25.46	5.00
21.96	19.12	6.00
13.94	18.36	6.00
17.42	25.43	5.00
21.78	20.42	6.00
14.84	20.58	6.00
30.50	15.46	7.00
26.51	17.37	7.00
17.40	21.43	8.00
22.61	14.74	7.00
21.25	18.60	5.00
22.69	23.46	6.00
20.20	13.67	5.00
23.01	17.44	7.00
18.47	15.19	5.00
4.29	28.21	25.00
23.05	21.61	5.00
21.18	24.54	8.00
14.91	24.80	6.00
37.57	24.30	5.00
38.05	12.03	5.00
29.51	18.73	7.00
30.28	20.98	8.00
7.03	22.39	5.00
15.28	18.09	4.00
12.70	19.54	9.00
16.85	18.78	6.00
13.78	24.17	4.00
25.20	17.72	10.00
22.72	10.37	8.00
24.14	11.51	5.00
3.29	19.56	5.00
22.78	15.99	6.00
18.27	20.35	6.00
29.75	16.50	9.00
16.43	21.38	6.00
4.03	20.79	6.00
18.15	24.68	12.00
16.09	17.12	6.00
18.19	20.76	5.00
13.75	23.81	5.00
0.24	16.03	3.50
23.62	16.94	7.00
12.16	18.08	4.00
11.83	24.70	5.00
10.55	24.89	5.00
3.53	23.97	6.00
20.86	16.73	8.00
9.20	20.04	7.00
12.39	13.89	6.00
23.86	17.89	7.50
17.27	17.56	8.00
10.28	20.06	6.00
23.09	18.30	8.00
24.36	11.53	8.00
15.70	10.16	6.00
16.97	20.71	5.00
23.82	15.18	5.00
26.32	15.01	7.00
23.43	19.45	6.00
27.64	21.50	6.00
15.68	17.42	5.00
33.88	10.86	7.00
27.65	21.75	6.00
27.28	10.06	7.00
16.52	19.79	6.00
12.44	22.57	8.50
16.19	23.50	8.00
26.67	23.44	6.00
22.94	19.30	7.00
27.05	7.66	5.00
29.86	20.27	8.00
25.54	21.44	20.00
15.91	20.10	7.50
16.90	11.13	2.50
7.85	15.37	5.00
10.94	12.91	5.00
7.01	13.58	5.00
21.17	18.76	13.50
12.16	14.20	5.00
31.70	13.29	7.50
20.73	11.97	5.00
15.30	14.31	5.00
17.76	17.14	3.50
12.58	16.44	5.00
27.74	9.14	4.00
28.30	17.51	5.00
24.20	20.31	8.00
3.63	17.33	7.00
20.05	19.22	10.00
19.27	8.73	5.00
27.57	17.21	7.50
24.76	16.92	7.50
32.52	11.34	8.50
29.64	20.54	9.00
14.16	22.14	8.00
36.69	12.14	6.50
23.97	14.70	7.50
30.68	18.75	6.50
10.38	18.70	8.00
23.43	22.86	9.00
1.65	20.09	7.00
33.72	15.80	6.50
21.97	12.82	5.00
10.74	22.07	9.00
15.99	22.68	9.00
23.29	17.85	7.00
23.74	19.53	7.00
21.87	17.15	4.00
19.83	20.20	5.00
18.17	22.81	9.00
12.16	18.54	9.00
0.03	19.41	7.00
18.66	24.29	9.00
20.07	22.03	6.50
11.49	26.06	9.00
22.99	21.59	6.00
